"";"gsub.._........RLS_species.fb_sci_name..RLS_species.fb_sci_name..in.."
"1";"Aioliops brachypterus"
"2";"Amblyrhynchote honckenii"
"3";"Arcos poecilophthalmos"
"4";"Chaenopsis schmitti"
"5";"Chromis dispila"
"6";"Elacatinus atronasus"
"7";"Elacatinus cayman"
"8";"Elacatinus centralis"
"9";"Lepidonectes bimaculatus"
"10";"Planiliza melinoptera"
"11";"Meiacanthus abruptus"
"12";"Mycteroperca microlepis"
"13";"Ophioblennius clippertonensis"
"14";"Ostracion immaculatum"
"15";"Ostracion solorense"
"16";"Patagonotothen guntheri"
"17";"Nemanthias bicolor"
"18";"Nemanthias dispar"
"19";"Pyronotanthias lori"
"20";"Nemanthias regalis"
"21";"Tigrigobius harveyi"
"22";"Tigrigobius redimiculus"
"23";"Trachurus indicus"
