"fb_sci_name";"rls_sci_name";"wta_file_name"
"Acanthostracion_polygonium";"Acanthostracion_polygonius";"Acanthostracion_polygonium.RData"
"Amblyglyphidodon_batunaorum";"Amblyglyphidodon_batunai";"Amblyglyphidodon_batunaorum.RData"
"Arripis_georgiana";"Arripis_georgianus";"Arripis_georgiana.RData"
"Goniistius_rubrolabiatus";"Cheilodactylus_rubrolabiatus";"Goniistius_rubrolabiatus.RData"
"Chirodactylus_spectabilis";"Cheilodactylus_spectabilis";"Chirodactylus_spectabilis.RData"
"Pycnochromis_abruptus";"Chromis_abrupta";"Pycnochromis_abruptus.RData"
"Pycnochromis_bami";"Chromis_bami";"Pycnochromis_bami.RData"
"Pycnochromis_dimidiatus";"Chromis_dimidiata";"Pycnochromis_dimidiatus.RData"
"Chromis_dispila";"Chromis_dispilus";"Chromis_dispila.RData"
"Azurina_elerae";"Chromis_elerae";"Azurina_elerae.RData"
"Pycnochromis_flavipectoralis";"Chromis_flavipectoralis";"Pycnochromis_flavipectoralis.RData"
"Pycnochromis_hanui";"Chromis_hanui";"Pycnochromis_hanui.RData"
"Azurina_lepidolepis";"Chromis_lepidolepis";"Azurina_lepidolepis.RData"
"Azurina_multilineata";"Chromis_multilineata";"Azurina_multilineata.RData"
"Pycnochromis_nigrurus";"Chromis_nigrura";"Pycnochromis_nigrurus.RData"
"Brachygenys_chrysargyreum";"Haemulon_chrysargyreum";"Brachygenys_chrysargyreum.RData"
"Stegastes_lacrymatus";"Plectroglyphidodon_lacrymatus";"Stegastes_lacrymatus.RData"
"Phanerodon_vacca";"Rhacochilus_vacca";"Phanerodon_vacca.RData"
"Plectroglyphidodon_altus";"Stegastes_altus";"Plectroglyphidodon_altus.RData"
"Plectroglyphidodon_apicalis";"Stegastes_apicalis";"Plectroglyphidodon_apicalis.RData"
"Plectroglyphidodon_aureus";"Stegastes_aureus";"Plectroglyphidodon_aureus.RData"
"Plectroglyphidodon_emeryi";"Stegastes_emeryi";"Plectroglyphidodon_emeryi.RData"
"Plectroglyphidodon_fasciolatus";"Stegastes_fasciolatus";"Plectroglyphidodon_fasciolatus.RData"
"Plectroglyphidodon_gascoynei";"Stegastes_gascoynei";"Plectroglyphidodon_gascoynei.RData"
"Plectroglyphidodon_insularis";"Stegastes_insularis";"Plectroglyphidodon_insularis.RData"
"Plectroglyphidodon_obreptus";"Stegastes_obreptus";"Plectroglyphidodon_obreptus.RData"
"Brachygenys_jessiae";"Xenocys_jessiae";"Brachygenys_jessiae.RData"
